id,Name_x,FIPS,year,VAC(vacantHousing),PMC,POV(poverty),UMP(unemployment),EDE (highschooldiploma),SNQ(foodaccess),HousingEviction_rate,RBS(Rentburdened),Opioidrate,x,y
53,Humboldt Park,23,2016,14.78057886,12.07584156,30.69458853,14.93173056,13.52346616,31.15432831,4.31,30.51734108,68.8,-87.720917,41.90008
54,West Town,24,2016,8.755732443,12.01127533,14.62794449,5.385399792,62.42352246,60.89703871,1.03,16.34820391,19.6,-87.676358,41.901216
55,Austin,25,2016,12.21661264,12.11527353,28.43462633,17.04073644,14.26951714,37.6981984,6.47,36.70077414,64.6,-87.763117,41.894113
56,West Garfield Park,26,2016,28.77473474,12.14210544,47.40100816,18.65676905,5.334178508,24.86281495,6.47,42.36218452,64.8,-87.730233,41.878602
57,East Garfield Park,27,2016,16.88366379,12.11174294,42.99512862,18.684724,14.69479894,23.67977912,5.64,35.61787057,79.2,-87.705892,41.878923
58,Near West Side,28,2016,8.318354155,12.0706043,27.10218342,12.79852218,55.8389898,62.86705525,2.4,19.10545812,41.1,-87.663513,41.874016
59,North Lawndale,29,2016,23.75683257,12.151847,43.82198429,20.64210056,10.90933855,26.40729833,6.04,41.39017109,93.2,-87.717218,41.860197
60,South Lawndale,30,2016,15.8678889,12.16058948,30.70548179,9.10874373,6.192831726,48.54930951,3.05,25.37910393,11.1,-87.714,41.839091
61,Lower West Side,31,2016,16.78621246,12.11056157,26.79147094,10.1895645,27.07685076,44.97206002,1.21,22.9664473,11.8,-87.66757,41.850277
62,Norwood Park,10,2016,7.677503315,11.85368185,6.398371572,5.409581355,36.50385141,71.90237192,1.45,28.77494635,6.4,-87.803451,41.985248
63,Jefferson Park,11,2016,7.008882227,11.8633609,8.884331776,7.503843108,33.76729144,72.52589974,1.79,19.90887207,7.1,-87.771165,41.978836
64,Forest Glen,12,2016,7.022649917,11.7845982,3.585833744,4.552057997,61.55923364,96.88985173,1.67,29.9539849,13.4,-87.758358,41.993938
65,North Park,13,2016,6.897308803,11.80622528,11.96932198,7.390087169,49.54129566,63.24645948,1.16,16.43761583,11.2,-87.723578,41.983651
66,Albany Park,14,2016,8.279947711,11.86412633,16.98433627,7.592916972,34.04230343,46.17807131,1.65,20.09495614,10.2,-87.721558,41.968078
67,Portage Park,15,2016,8.619488407,11.94696955,13.12017084,7.814533565,27.63109455,64.62031368,2.44,22.14035262,19.2,-87.763401,41.954043
68,Irving Park,16,2016,8.774997717,11.91049804,9.492572043,6.2605301,40.24009347,70.2496209,1.55,16.79209463,15.2,-87.723457,41.953589
69,Dunning,17,2016,6.230269432,11.99367703,10.78090102,5.337868392,24.44853682,77.64800638,2.47,22.52158992,15.4,-87.806015,41.946522
70,Montclare,18,2016,11.33215764,12.03406052,13.54596226,7.470824698,17.99784589,51.23985042,3.03,28.65546086,6.8,-87.798033,41.929306
71,Belmont Cragin,19,2016,9.788331797,12.03117345,18.97253283,10.44246653,13.1410272,52.09810092,2.98,27.85492151,15.9,-87.765502,41.927275
72,Hermosa,20,2016,9.861922454,12.01880139,21.61945485,8.721375411,12.28037474,51.6371964,3.41,34.83834952,22.1,-87.734741,41.924353
73,Avondale,21,2016,10.51505784,11.94559034,20.00673523,6.070592072,31.60439003,72.05990713,1.73,24.36298108,15,-87.711219,41.938673
74,Logan Square,22,2016,10.34760868,11.97742138,14.8320211,4.748506222,51.73088671,67.75868126,1.16,19.17489098,11.3,-87.699149,41.922768
75,O'Hare,76,2016,6.980965064,11.90566162,11.22611584,9.060468542,24.52409725,68.6080474,1.49,22.7054716,8.5,-87.893699,41.975696
76,Edison Park,9,2016,8.082159932,11.76348682,1.692513172,4.117257063,47.14911317,89.45737943,0.81,10.49890473,0,-87.81378,42.007627
77,Burnside,47,2017,26.5981068,11.64246027,17.58174188,22.31022668,14.08368374,49.99115908,3.07,39.1055292,0,-87.59647,41.728181
78,Calumet Heights,48,2017,12.52163247,11.62130363,16.62662739,12.6326047,25.90392346,59.30115148,4.27,26.85861273,0,-87.57272,41.729673
79,Roseland,49,2017,18.97376536,11.64768227,25.85846527,23.9161602,20.55532043,33.0598289,5.81,40.70336205,48.1,-87.623366,41.706588
80,Pullman,50,2017,9.710151066,11.64073024,22.35138127,18.15138082,26.52764849,41.5294704,5.06,32.66720818,44.7,-87.598252,41.706131
81,South Deering,51,2017,14.24950783,11.6198736,42.99485972,23.58048364,8.77337751,23.6527977,4.31,28.94945853,26.9,-87.570058,41.690639
